finding_id,scenario_step,severity,status,controlled_datetime,environment_build,actor_role,client_group,provider_branch,member_fixture,case_number,pa_gop_lou_refs,claim_slice_batch_voucher_refs,pre_state,exact_input,expected_result,expectation_source,actual_result,financial_exposure_gross,financial_exposure_allowable,hold_delta,used_delta,available_delta,payable_delta,settled_delta,fund_delta,gl_delta,privacy_clinical_operational_impact,reproducibility,retry_count,evidence_refs,stop_decision,continuation_workaround,owner,notes
"IPL-RV-01","IPL-001 re-verify / 11.6 slice money-path","Low","RESOLVED — money-path confirmed once §7.1 contract exists (CLM-2026-00760 APPROVED, used +150k); residual = non-hermetic integration test","2026-07-18 (real clock)","e314de8 (local Lima VM, fresh seed)","SUPER_ADMIN / integration","Nile Telecom Uganda","Kampala Hospital","MVX-2024-00003","CASE-2026-00001","n/a","CLM-2026-00760 (slice S1)","Fresh seed has 0 ProviderContract / 0 ContractVersion","Cut interim slice then approve it (UI + interim-settlement.integration.test.ts)","Approving an interim slice books benefit used once (11.6) and the slice reaches APPROVED; slice settles once (11.7-8)","Plan 11.6/11.7-8; fix's own integration test","Slice PENDS on adjudication (CON-001 no active contract) so usage is not booked; integration 11.6 FAILS (used delta -834,000 vs expected +16,000); slice status not APPROVED. 5/6 integration pass. Fix author reported 6/6 -> test is non-hermetic (depends on ambient contract data).","n/a","n/a","n/a","-834000 (anomalous; used moved negative on a no-op approval)","n/a","n/a","n/a","n/a","Interim-slice adjudication->approval->usage-booking->settlement cannot be exercised without a contract; the -834k used delta needs investigation once a contract exists","deterministic (5/6)","0","evidence/IPL-001_reverify_integration_summary.md; exports/IPL-001_reverify_integration_suite_output.txt","Continue — build 7.1 contract book (task 3) then re-test 11.6/11.7-8 and scenarios","n/a","product/UAT","NOT a slicing-capability regression (SET-01/02/03 + recon + settle-once all PASS). Blocked on 7.1 contract book fixture."
"OBS-COPY-01","IPL-001 re-verify / /cases list","Low","FIXED 2026-07-19 (c1fc571 — /cases + case-detail + sidebar copy now reflect interim slicing)","2026-07-18","e314de8 (local Lima VM)","SUPER_ADMIN","n/a","n/a","n/a","n/a","n/a","n/a","Interim slicing now exists (fix e314de8)","Viewed /cases list header","Copy should reflect that a case can file interim slices, not only one claim at closure","Consistency with fix e314de8","/cases list header still reads 'Clinical episodes accruing services, pre-auths and LOUs — each files as a single claim at closure.' — stale/inaccurate now that interim slicing exists","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Misleading operator copy; no money/privacy risk","deterministic","0","evidence/IPL-001_reverify_SET01_slice1.txt","Continue","n/a","product","Update the /cases list subtitle copy."
"OBS-A11Y-01","IPL-001 re-verify / case detail add-entry","Low","FIXED 2026-07-19 (c1fc571 — aria-labels on all 4 case-form submits + shrink-0/flex-wrap so Add stays in the a11y tree at 1280px)","2026-07-18","e314de8 (local Lima VM)","SUPER_ADMIN","n/a","Kampala Hospital","MVX-2024-00003","CASE-2026-00001","n/a","n/a","Case detail add-service-entry form","Read accessibility tree at 1280x720 then 1280x1600","The 'Add' submit button exposes an accessible name at all viewports","WCAG name/role; UAT harness reliability","The case 'Add' service-entry submit button was NOT present in the accessibility tree at 1280x720 (only appeared after resizing to 1280x1600). Button text is 'Add' in source.","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Minor a11y/automation reliability; no money/privacy risk","intermittent (viewport-dependent)","0","n/a","Continue","resize viewport to reveal the Add button","product","Likely off-screen virtualization/labelling; verify button always has an accessible name."
"CFG-01","§7.1 contract config / reconciliation cadence","Low","FIXED 2026-07-19 (4fcb608 — WEEKLY added to ReconciliationCadence enum + zod + contract form; declarative-only)","2026-07-18","e314de8 (local Lima VM)","admin/config","n/a","Kampala Hospital","n/a","n/a","n/a","PC-UAT-IP-2026","Building §7.1 contract book","Set ProviderContract.reconciliationCadence to weekly","Contract can declare the §7.1 'weekly inpatient interim billing' cadence","Plan §7.1; SET-04","ReconciliationCadence enum = {NONE,MONTHLY,QUARTERLY,BIANNUAL} — no WEEKLY. Contract cannot declare a weekly reconciliation cadence (max granularity MONTHLY). Weekly slicing still works operationally via cutInterimSlice.","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Declarative/reporting gap only; the operational weekly interim-slice path works. Relates to SET-04 (monthly-only cadence is a gap).","deterministic","0","notes/CONTRACT_BOOK_BUILD.md","Continue","cut interim slices on Fridays operationally; cadence field set MONTHLY","product","Add WEEKLY to ReconciliationCadence enum for inpatient contracts; assess with SET-04."
"SCN-OBS-01","Scenario 2 Boda / multi-benefit allocation (§13, §26.7)","Medium","CONFIRMED-IN-CODE 2026-07-19 (single benefitCategory case->claim->one recordUsage; decision memo notes/SCN-OBS-01_DECISION.md recommends Option B sign-off + direct-claim workaround — AWAITING sponsor sign-off)","2026-08-01 (controlled clock)","e314de8 (local Lima VM)","SUPER_ADMIN","Nile Telecom","Kampala Hospital","IP-UAT-BODA","CASE-2026-00002","n/a","n/a","Case opened INPATIENT; Boda needs ambulance/surgical/inpatient/rehab allocated line-by-line","Open Case has a single Benefit selector; service entries carry a SERVICE category (CONSULTATION/LAB/…), not a BENEFIT category","One admission allocates benefit usage line-by-line across ambulance/surgical/inpatient/rehab (§13, §26.7)","Plan §13, §26.7","The case has ONE benefitCategory (INPATIENT); service entries have no per-line benefit-category field, so episode usage books to the case's single benefit. Line-by-line multi-benefit allocation appears unsupported at the case level. (To confirm at adjudication — claim.benefitCategory is single.)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Boda 49.6M would book entirely to INPATIENT rather than splitting 0.8M ambulance / 19.6M surgical / 27.4M inpatient / 1.8M rehab — the §13 allocation probe","deterministic","0","(case CASE-2026-00002 on controlled clock)","Continue — confirm at adjudication; if single-benefit, log as capability gap","n/a","product","Verify whether adjudication can split one episode across benefit categories; if not, it's a multi-benefit-allocation gap."
"OBS-UI-02","Scenario 2 / case service-entry form","Low","FIXED 2026-07-19 (c1fc571 — a11y name + unclip; Enter-to-submit is native form behaviour; value-drop was an automation/native-setter quirk, not app logic)","2026-08-01 (controlled clock)","e314de8 (local Lima VM)","SUPER_ADMIN","Nile Telecom","Kampala Hospital","IP-UAT-BODA","CASE-2026-00002","n/a","n/a","Case detail add-service-entry form","form_input on Description; click+type; Enter to submit","Adding a service entry via the form is reliable","UAT automation + usability","Description text input does not retain a programmatically-set value across re-render; the 'Add' submit button lacks an accessible name (not in the a11y tree, extends OBS-A11Y-01); Enter in the row does not submit. Manual click on 'Add' works when its ref is captured. Impedes efficient bulk/multi-day entry → HMS batch JSON upload is the efficient path.","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Automation/usability friction for multi-day entry; no money/privacy risk","intermittent","3","(observed live)","Continue via HMS batch JSON for bulk entry","use HMS daily batch (JSON) upload for multi-line/multi-day accrual","product","Give the Add button an accessible name; ensure controlled-input values persist; consider Enter-to-add."
"IPL-PA-01","Scenario 2 Boda / interim slice adjudication (§11.5, §13)","High","FIXED-VERIFIED 2026-07-19 (fix/inpatient-slice-case-pa 3f655ed; read-through effectivePreauthWhere + in-tx re-read; live VM proof: Phase A no-PA BLOCKED, Phase B case-PA APPROVED 1.45M, hold credited 150k residual, PA partial-consume caseId intact — evidence/IPL-PA-01_fix_proof.txt)","2026-08-01 (controlled clock)","e314de8 (local Lima VM)","CLAIMS_OFFICER (service decide)","Nile Telecom","Kampala Hospital","IP-UAT-BODA","CASE-2026-00002","(case PA path)","CASE-2026-00002-S1","Slice S1 cut (8 lines incl. CT-HEAD which contract flags requiresPreauth)","Adjudicate the interim slice S1 (ClaimDecisionService.decide APPROVED)","Interim slice adjudicates; PA-required line satisfied by the case's PA/GOP; case PA hold credited to the slice (§11.5)","Plan §11.5 (slice consumes case hold); design brief §2.3/§2.4; CON-09","BLOCKED: decide throws 'Contract PC-UAT-IP-2026 requires pre-authorization for: CT-HEAD. Link an approved PA to this claim.' The PA-check reads claim.preauths (the SLICE's own PAs) which is ALWAYS EMPTY for a slice — attachPreauth links PAs to the CASE (caseId), and cutInterimSlice deliberately does NOT re-point case PAs to slices (design §2.4; only closeAndFile re-points to the FINAL claim). So (a) any PA-required contract line on an interim slice cannot be approved via the interim path, and (b) case PA/GOP holds are NOT credited to interim slices (creditPreauthIds=claim.preauths=empty), contradicting §11.5.","n/a","n/a","case PA hold not credited to slice","n/a","n/a","n/a","n/a","n/a","n/a","Interim settlement is undercut for PA-secured / high-cost inpatient lines (CT/MRI/surgery); PA holds may strand or slices consume raw benefit instead of the guarantee. Real interim-settlement × contract-PA gap.","deterministic","0","(uat-boda-cadence.ts phase 1 error; case.service.ts:248 attachPreauth caseId-only; claim-decision.service.ts:408-413 reads claim.preauths)","Continue — prove cadence on non-PA lines; this needs product fix (re-point/credit case PAs to slices)","for cadence proof, exclude PA-required lines","product","Interim slice should honour the case's PAs: credit case PA holds to slices and satisfy PA-required lines from case.preauths, not the slice's own empty list."
"OBS-PA-LINK-01","WP-A code review / ClaimsService.createClaim PA auto-link","Low","OPEN — new observation found during IPL-PA-01 fix","2026-07-19","fix/inpatient-slice-case-pa (host)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Direct-claim PA auto-link (claims.service.ts createClaim ~:263) filters neither providerId nor tenantId; caseId:null added by WP-A, but provider/tenant scoping still missing","deterministic","0","code: src/server/services/claims.service.ts createClaim linkedPreauth findFirst","Continue","n/a","product/eng","Add providerId + tenantId to the auto-link where; low risk (member+benefit+claimId:null already scope it heavily)."
"OBS-PA-EXP-01","WP-A edge-case review / PA validity at decision","Low","OPEN — accepted for now (fail-safe direction)","2026-07-19","fix/inpatient-slice-case-pa (host)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","decide() does not re-check PA validUntil at decision time; an expired-mid-admission PA's hold is released by the expiry sweep and availability then binds raw benefit (safe). Belongs with the §26.8 probe.","deterministic","0","code: claim-decision.service.ts decide (no validity check)","Continue","n/a","product","Consider a validity check at decide; today's behaviour is fail-safe, not a money hole."
"OBS-PA-VOID-01","WP-A edge-case review / voidClaim + PA","Low","OPEN — pre-existing, unchanged by WP-A","2026-07-19","fix/inpatient-slice-case-pa (host)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","voidClaim reverses usage+GL but does NOT restore a consumed PA's utilisedAmount/hold (true for all PA-covered claims, not just slices).","deterministic","0","code: claim-decision.service.ts voidClaim","Continue","n/a","product","Product decision whether a void should refund PA cover; out of scope of IPL-PA-01."
"SETUP-OBS-01","clean-room install","Low","RESOLVED/STALE 2026-07-19 — `npm ci --dry-run` PASSES on host at e314de8 (lock has proxy-agent + 43 linux-arm64 entries); original failure = stale branch state / npm-10-vs-11 artefact","2026-07-19","fix/inpatient-slice-case-pa (host)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No lockfile change needed; do not touch a working lock","deterministic","0","host: npm ci --dry-run exit 0","Continue","n/a","eng","If a clean-room fails on npm 10, run `npm install --package-lock-only` and commit the lock delta alone."
